Raman Shift (cm-1),reference styrene
2818,1031.71435546875
2817,978.321105957031
2816,927.965576171875
2815,901.810119628906
2814,875.417846679688
2813,810.211730957031
2812,778.841552734375
2811,750.815795898438
2810,683.931274414063
2809,666.636901855469
2808,659.947143554688
2807,630.824096679688
2806,613.341186523438
2805,591.297485351563
2804,579.989135742188
2803,590.272827148438
2802,559.343139648438
2801,532.374450683594
2800,542.781555175781
2799,541.228515625
2798,532.172668457031
2797,513.020629882813
2796,478.106201171875
2795,464.569793701172
2794,464.260620117188
2793,447.333404541016
2792,403.590972900391
2791,363.519470214844
2790,356.035522460938
2789,373.824615478516
2788,351.962646484375
2787,322.285308837891
2786,328.994689941406
2785,316.387298583984
2784,304.139282226563
2783,309.185821533203
2782,304.589782714844
2781,277.382843017578
2780,262.304504394531
2779,282.757232666016
2778,268.121520996094
2777,246.916580200195
2776,255.378570556641
2775,261.492340087891
2774,252.689666748047
2773,241.818405151367
2772,244.901184082031
2771,240.375152587891
2770,233.532379150391
2769,237.353790283203
2768,240.091705322266
2767,229.424713134766
2766,215.11051940918
2765,219.465270996094
2764,218.607498168945
2763,216.056182861328
2762,226.178421020508
2761,221.611129760742
2760,208.103622436523
2759,200.568588256836
2758,197.535537719727
2757,197.4072265625
2756,198.232681274414
2755,197.342315673828
2754,192.327484130859
2753,182.415390014648
2752,172.782241821289
2751,174.855010986328
2750,176.465637207031
2749,167.50456237793
2748,155.395874023438
2747,151.885177612305
2746,155.655395507813
2745,156.645370483398
2744,154.093139648438
2743,150.058197021484
2742,145.864074707031
2741,140.789199829102
2740,136.79719543457
2739,137.287384033203
2738,143.271820068359
2737,145.843811035156
2736,143.862075805664
2735,142.402908325195
2734,141.412857055664
2733,133.333389282227
2732,123.974609375
2731,137.072463989258
2730,147.270629882813
2729,140.867065429688
2728,133.205062866211
2727,129.751647949219
2726,132.196899414063
2725,141.148864746094
2724,154.577041625977
2723,152.101058959961
2722,139.812866210938
2721,161.601257324219
2720,177.215148925781
2719,165.403610229492
2718,153.047119140625
2717,157.386077880859
2716,170.366439819336
2715,177.606887817383
2714,186.363174438477
2713,196.583389282227
2712,205.495178222656
2711,214.940368652344
2710,231.289627075195
2709,248.861923217773
2708,254.485610961914
2707,257.693023681641
2706,268.01708984375
2705,286.572357177734
2704,305.188049316406
2703,327.581573486328
2702,358.629821777344
2701,395.904541015625
2700,444.351470947266
2699,494.530456542969
2698,525.755004882813
2697,543.955444335938
2696,538.7001953125
2695,508.652221679688
2694,509.183349609375
2693,517.813842773438
2692,501.811248779297
2691,488.178680419922
2690,485.330932617188
2689,491.258941650391
2688,500.552001953125
2687,500.517028808594
2686,493.646362304688
2685,490.040832519531
2684,481.783477783203
2683,470.798767089844
2682,465.977416992188
2681,471.406005859375
2680,471.312072753906
2679,464.329650878906
2678,474.630767822266
2677,501.042358398438
2676,523.089233398438
2675,525.5546875
2674,542.386596679688
2673,575.994567871094
2672,609.027099609375
2671,645.565002441406
2670,689.028747558594
2669,735.250061035156
2668,775.070251464844
2667,822.412841796875
2666,882.459716796875
2665,937.032470703125
2664,955.904541015625
2663,926.279174804688
2662,861.407409667969
2661,796.935791015625
2660,746.177795410156
2659,700.545104980469
2658,645.090576171875
2657,598.561096191406
2656,563.124450683594
2655,510.032043457031
2654,486.195770263672
2653,478.272155761719
2652,421.757202148438
2651,391.40771484375
2650,405.132202148438
2649,412.711303710938
2648,378.378875732422
2647,343.927307128906
2646,347.456298828125
2645,343.701843261719
2644,328.316864013672
2643,312.459320068359
2642,300.566925048828
2641,305.736968994141
2640,321.85986328125
2639,329.933929443359
2638,345.823028564453
2637,373.873443603516
2636,411.55517578125
2635,472.576446533203
2634,515.820068359375
2633,513.218200683594
2632,514.036315917969
2631,483.5244140625
2630,409.309112548828
2629,359.503356933594
2628,348.450073242188
2627,348.172424316406
2626,324.261871337891
2625,308.779205322266
2624,305.590026855469
2623,296.319458007813
2622,299.578582763672
2621,297.113555908203
2620,274.965850830078
2619,276.353729248047
2618,273.224639892578
2617,249.709762573242
2616,256.269439697266
2615,267.752960205078
2614,266.378509521484
2613,271.619140625
2612,268.941772460938
2611,264.825408935547
2610,278.750762939453
2609,280.648803710938
2608,275.727935791016
2607,284.498016357422
