Raman Shift (cm-1),reference isoprene
2693,484.597808837891
2692,485.537261962891
2691,488.941772460938
2690,491.856628417969
2689,489.362121582031
2688,473.841033935547
2687,484.787078857422
2686,504.719146728516
2685,487.683532714844
2684,469.920074462891
2683,471.605407714844
2682,480.083038330078
2681,464.694244384766
2680,456.204772949219
2679,472.427795410156
2678,482.083526611328
2677,480.803192138672
2676,488.970367431641
2675,522.501953125
2674,539.171630859375
2673,560.188232421875
2672,618.200561523438
2671,659.963500976563
2670,694.105346679688
2669,750.049072265625
2668,824.328063964844
2667,879.934936523438
2666,905.379516601563
2665,925.571228027344
2664,940.428894042969
2663,928.291748046875
2662,876.233093261719
2661,826.083312988281
2660,778.526123046875
2659,717.854553222656
2658,657.992797851563
2657,609.775146484375
2656,569.035888671875
2655,520.92724609375
2654,483.119110107422
2653,455.280548095703
2652,420.805328369141
2651,411.401733398438
2650,408.899322509766
2649,376.902954101563
2648,352.386352539063
2647,334.993957519531
2646,315.837677001953
2645,317.265686035156
2644,313.949493408203
2643,299.519866943359
2642,309.132080078125
2641,303.941558837891
2640,292.852752685547
2639,325.576721191406
2638,336.973419189453
2637,345.411163330078
2636,408.584259033203
2635,468.729187011719
2634,515.509094238281
2633,548.295227050781
2632,520.657470703125
2631,458.587371826172
2630,400.862487792969
2629,355.2822265625
2628,328.616882324219
2627,315.145904541016
2626,299.204376220703
2625,281.104644775391
2624,268.509338378906
2623,266.88330078125
2622,267.686279296875
2621,260.715850830078
2620,248.868301391602
2619,255.372817993164
2618,258.552795410156
2617,242.391510009766
2616,233.298202514648
2615,240.153564453125
2614,247.537216186523
2613,234.562347412109
2612,240.515487670898
2611,261.070373535156
2610,256.798187255859
2609,256.421630859375
2608,264.312194824219
2607,262.891143798828
2606,252.197555541992
2605,251.835357666016
2604,265.671997070313
2603,257.898406982422
2602,246.4775390625
2601,249.139923095703
2600,249.256164550781
2599,248.335357666016
2598,245.492126464844
2597,233.418319702148
2596,222.40885925293
2595,217.1044921875
2594,213.602111816406
2593,210.069213867188
2592,199.746978759766
2591,183.936752319336
2590,188.149002075195
2589,197.078826904297
2588,192.182037353516
2587,192.750183105469
2586,193.905960083008
2585,188.189529418945
2584,182.952026367188
2583,183.712295532227
2582,186.484085083008
2581,180.578125
2580,170.041946411133
2579,170.147964477539
2578,189.312545776367
2577,193.045455932617
2576,182.423202514648
2575,179.635559082031
2574,172.669799804688
2573,160.998519897461
2572,151.453918457031
2571,143.904754638672
2570,139.702011108398
2569,139.360748291016
2568,139.579086303711
2567,134.70751953125
2566,126.843544006348
2565,125.74201965332
2564,120.981323242188
2563,113.495582580566
2562,117.124565124512
2561,116.57852935791
2560,111.397827148438
2559,114.390464782715
2558,114.794311523438
2557,113.770217895508
2556,115.612594604492
2555,102.621017456055
2554,94.2615737915039
2553,109.837921142578
2552,117.534652709961
2551,118.076362609863
2550,120.005676269531
2549,113.341415405273
2548,112.048980712891
2547,120.152297973633
2546,116.405807495117
2545,109.112129211426
2544,106.585815429688
2543,105.351898193359
2542,109.411666870117
2541,113.477378845215
2540,107.458534240723
2539,106.818161010742
2538,112.915863037109
2537,114.897483825684
2536,117.483612060547
2535,119.483978271484
2534,118.125846862793
2533,121.895240783691
2532,124.01399230957
2531,120.49739074707
2530,131.795471191406
2529,144.292465209961
2528,143.611404418945
2527,145.633056640625
2526,141.037567138672
2525,126.799690246582
2524,124.706436157227
2523,131.343292236328
2522,135.537704467773
2521,132.311920166016
2520,130.64518737793
2519,128.706069946289
2518,114.997657775879
2517,108.606170654297
2516,113.709350585938
2515,115.762626647949
2514,114.989547729492
2513,115.808639526367
2512,120.253707885742
2511,121.671516418457
2510,116.379737854004
2509,107.407516479492
2508,105.219032287598
2507,107.979049682617
2506,107.067535400391
2505,99.7344055175781
2504,97.4076309204102
2503,105.41919708252
2502,104.870628356934
2501,97.4598388671875
2500,95.486213684082
2499,105.611152648926
2498,107.566246032715
2497,97.7181701660156
2496,106.535087585449
2495,113.947410583496
2494,107.091529846191
2493,106.147239685059
2492,110.703941345215
2491,114.476867675781
2490,114.70915222168
2489,115.043334960938
2488,117.553184509277
2487,123.000793457031
2486,140.225769042969
2485,152.43603515625
2484,133.459289550781
2483,117.171043395996
2482,115.551200866699
2481,114.997901916504
2480,117.871978759766
2479,119.244689941406
2478,113.919906616211
2477,117.627151489258
2476,123.681442260742
2475,120.258277893066
2474,126.590492248535
2473,132.089782714844
2472,121.907089233398
2471,119.973052978516
2470,125.580207824707
2469,126.840492248535
2468,125.899856567383
2467,131.020736694336
2466,143.421844482422
2465,148.805068969727
2464,150.310546875
2463,152.077682495117
2462,147.186264038086
2461,153.354415893555
2460,172.857986450195
2459,171.992370605469
2458,163.976257324219
2457,166.689086914063
2456,173.861282348633
2455,176.570678710938
2454,171.448547363281
2453,162.490783691406
2452,150.365997314453
2451,141.680328369141
2450,147.306701660156
2449,152.406509399414
2448,148.876937866211
2447,145.224334716797
2446,142.138275146484
2445,135.961868286133
2444,125.097198486328
2443,124.736450195313
2442,132.571136474609
2441,130.170623779297
2440,129.618728637695
2439,133.627990722656
2438,131.728424072266
2437,130.814804077148
2436,130.525939941406
2435,123.697257995605
2434,118.863952636719
2433,116.423957824707
2432,110.999168395996
2431,113.74787902832
2430,118.528305053711
2429,110.359603881836
2428,104.911735534668
2427,106.809272766113
2426,108.299407958984
2425,108.900657653809
2424,107.317832946777
2423,102.818267822266
2422,101.608390808105
2421,102.617980957031
2420,101.500961303711
2419,103.443618774414
2418,106.84481048584
2417,105.140083312988
2416,96.9232482910156
2415,93.0306243896484
2414,102.834007263184
2413,109.807327270508
2412,109.429077148438
2411,106.579849243164
2410,99.9448089599609
2409,92.9216537475586
2408,91.4433517456055
2407,96.5174789428711
2406,97.9929428100586
2405,88.4342269897461
2404,84.8943939208984
2403,92.1713256835938
2402,100.670112609863
2401,94.9105758666992
2400,90.5121078491211
2399,103.114151000977
2398,97.5807342529297
2397,85.1761932373047
2396,92.3262557983398
2395,93.7434005737305
2394,90.9255676269531
2393,96.7047882080078
2392,95.2473220825195
2391,93.3028335571289
2390,102.583229064941
